ESTADO,PRODUTO,ANO,DATA FINAL,PREÇO MÉDIO REVENDA,VARIAÇÃO
SAO PAULO,ETANOL HIDRATADO,2018,2018-01-13,2.833,
SAO PAULO,ETANOL HIDRATADO,2018,2018-01-20,2.868,0.0349999999999997
SAO PAULO,ETANOL HIDRATADO,2018,2018-01-27,2.874,0.006000000000000227
SAO PAULO,ETANOL HIDRATADO,2018,2018-02-03,2.891,0.016999999999999904
SAO PAULO,ETANOL HIDRATADO,2018,2018-02-10,2.884,-0.007000000000000117
SAO PAULO,ETANOL HIDRATADO,2018,2018-02-17,2.892,0.008000000000000007
SAO PAULO,ETANOL HIDRATADO,2018,2018-02-24,2.886,-0.005999999999999783
SAO PAULO,ETANOL HIDRATADO,2018,2018-03-03,2.874,-0.01200000000000001
SAO PAULO,ETANOL HIDRATADO,2018,2018-03-10,2.862,-0.01200000000000001
SAO PAULO,ETANOL HIDRATADO,2018,2018-03-17,2.88,0.017999999999999794
SAO PAULO,ETANOL HIDRATADO,2018,2018-03-24,2.873,-0.006999999999999673
SAO PAULO,ETANOL HIDRATADO,2018,2018-03-31,2.872,-0.001000000000000334
SAO PAULO,ETANOL HIDRATADO,2018,2018-04-07,2.867,-0.004999999999999893
SAO PAULO,ETANOL HIDRATADO,2018,2018-04-14,2.848,-0.019000000000000128
SAO PAULO,ETANOL HIDRATADO,2018,2018-04-21,2.802,-0.04599999999999982
SAO PAULO,ETANOL HIDRATADO,2018,2018-04-28,2.708,-0.09399999999999986
SAO PAULO,ETANOL HIDRATADO,2018,2018-05-05,2.656,-0.052000000000000046
SAO PAULO,ETANOL HIDRATADO,2018,2018-05-12,2.613,-0.04300000000000015
SAO PAULO,ETANOL HIDRATADO,2018,2018-05-19,2.603,-0.009999999999999787
SAO PAULO,ETANOL HIDRATADO,2018,2018-05-26,2.641,0.03799999999999981
SAO PAULO,ETANOL HIDRATADO,2018,2018-06-02,2.801,0.16000000000000014
SAO PAULO,ETANOL HIDRATADO,2018,2018-06-09,2.835,0.03399999999999981
SAO PAULO,ETANOL HIDRATADO,2018,2018-06-16,2.789,-0.04599999999999982
SAO PAULO,ETANOL HIDRATADO,2018,2018-06-23,2.749,-0.040000000000000036
SAO PAULO,ETANOL HIDRATADO,2018,2018-06-30,2.7,-0.04899999999999993
SAO PAULO,ETANOL HIDRATADO,2018,2018-07-07,2.632,-0.06800000000000006
SAO PAULO,ETANOL HIDRATADO,2018,2018-07-14,2.598,-0.03400000000000025
SAO PAULO,ETANOL HIDRATADO,2018,2018-07-21,2.555,-0.042999999999999705
SAO PAULO,ETANOL HIDRATADO,2018,2018-07-28,2.517,-0.038000000000000256
SAO PAULO,ETANOL HIDRATADO,2018,2018-08-04,2.496,-0.020999999999999908
SAO PAULO,ETANOL HIDRATADO,2018,2018-08-11,2.462,-0.03399999999999981
SAO PAULO,ETANOL HIDRATADO,2018,2018-08-18,2.423,-0.039000000000000146
SAO PAULO,ETANOL HIDRATADO,2018,2018-08-25,2.393,-0.03000000000000025
SAO PAULO,ETANOL HIDRATADO,2018,2018-09-01,2.408,0.015000000000000124
SAO PAULO,ETANOL HIDRATADO,2018,2018-09-08,2.488,0.08000000000000007
SAO PAULO,ETANOL HIDRATADO,2018,2018-09-15,2.623,0.13500000000000023
SAO PAULO,ETANOL HIDRATADO,2018,2018-09-22,2.641,0.017999999999999794
SAO PAULO,ETANOL HIDRATADO,2018,2018-09-29,2.685,0.04400000000000004
SAO PAULO,ETANOL HIDRATADO,2018,2018-10-06,2.682,-0.0030000000000001137
