REGIÃO,DATA FINAL,PREÇO MÉDIO REVENDA
CENTRO OESTE,2004-05-15,1.099
CENTRO OESTE,2004-05-22,1.099
CENTRO OESTE,2004-05-29,1.099
CENTRO OESTE,2004-06-05,1.099
CENTRO OESTE,2004-06-12,1.099
CENTRO OESTE,2004-06-19,1.099
CENTRO OESTE,2004-06-26,1.097
CENTRO OESTE,2004-07-03,1.099
CENTRO OESTE,2004-07-10,1.099
CENTRO OESTE,2004-07-17,1.144
CENTRO OESTE,2004-07-24,1.144
CENTRO OESTE,2004-07-31,1.144
CENTRO OESTE,2004-08-07,1.144
CENTRO OESTE,2004-08-14,1.144
CENTRO OESTE,2004-08-21,1.144
CENTRO OESTE,2004-08-28,1.144
CENTRO OESTE,2004-09-04,1.144
CENTRO OESTE,2004-09-11,1.144
CENTRO OESTE,2004-09-18,1.144
CENTRO OESTE,2004-09-25,1.137
CENTRO OESTE,2004-10-02,1.137
CENTRO OESTE,2004-10-09,1.137
CENTRO OESTE,2004-10-16,1.137
CENTRO OESTE,2004-10-23,1.139
CENTRO OESTE,2004-10-30,1.139
CENTRO OESTE,2004-11-06,1.139
CENTRO OESTE,2004-11-13,1.139
CENTRO OESTE,2004-11-20,1.139
CENTRO OESTE,2004-11-27,1.139
CENTRO OESTE,2004-12-04,1.139
CENTRO OESTE,2004-12-11,1.167
CENTRO OESTE,2004-12-18,1.169
CENTRO OESTE,2004-12-25,1.169
CENTRO OESTE,2005-01-01,1.169
CENTRO OESTE,2005-01-08,1.169
CENTRO OESTE,2005-01-15,1.169
CENTRO OESTE,2005-01-22,1.169
CENTRO OESTE,2005-01-29,1.169
CENTRO OESTE,2005-02-05,1.169
CENTRO OESTE,2005-02-12,1.169
CENTRO OESTE,2005-02-19,1.169
CENTRO OESTE,2005-02-26,1.169
CENTRO OESTE,2005-03-05,1.169
CENTRO OESTE,2005-03-12,1.159
CENTRO OESTE,2005-03-19,1.169
CENTRO OESTE,2005-03-26,1.169
CENTRO OESTE,2005-04-02,1.169
CENTRO OESTE,2005-04-09,1.169
CENTRO OESTE,2005-04-16,1.169
CENTRO OESTE,2005-04-23,1.169
CENTRO OESTE,2005-04-30,1.169
CENTRO OESTE,2005-05-07,1.249
CENTRO OESTE,2005-05-14,1.249
CENTRO OESTE,2005-05-21,1.249
CENTRO OESTE,2005-05-28,1.249
CENTRO OESTE,2005-06-04,1.249
CENTRO OESTE,2005-06-11,1.249
CENTRO OESTE,2005-06-18,1.249
CENTRO OESTE,2005-06-25,1.249
CENTRO OESTE,2005-07-02,1.249
CENTRO OESTE,2005-07-09,1.249
CENTRO OESTE,2005-07-16,1.249
CENTRO OESTE,2005-07-23,1.249
CENTRO OESTE,2005-07-30,1.249
CENTRO OESTE,2005-08-06,1.249
CENTRO OESTE,2005-08-13,1.249
CENTRO OESTE,2005-09-03,1.249
CENTRO OESTE,2005-09-10,1.27
CENTRO OESTE,2005-09-17,1.307
CENTRO OESTE,2005-09-24,1.319
CENTRO OESTE,2005-10-01,1.306
CENTRO OESTE,2005-10-08,1.319
CENTRO OESTE,2005-10-15,1.405
CENTRO OESTE,2005-10-22,1.49
CENTRO OESTE,2005-10-29,1.319
CENTRO OESTE,2005-11-05,1.319
CENTRO OESTE,2005-11-12,1.317
CENTRO OESTE,2005-11-19,1.319
CENTRO OESTE,2005-11-26,1.319
CENTRO OESTE,2005-12-03,1.319
CENTRO OESTE,2005-12-10,1.319
CENTRO OESTE,2005-12-17,1.319
CENTRO OESTE,2005-12-24,1.584
CENTRO OESTE,2005-12-31,1.642
CENTRO OESTE,2006-01-07,1.646
CENTRO OESTE,2006-01-14,1.692
CENTRO OESTE,2006-01-21,1.319
CENTRO OESTE,2006-01-28,1.319
CENTRO OESTE,2006-02-04,1.319
CENTRO OESTE,2006-02-11,1.489
CENTRO OESTE,2006-02-18,1.489
CENTRO OESTE,2006-02-25,1.489
CENTRO OESTE,2006-03-04,1.489
CENTRO OESTE,2006-03-11,1.489
CENTRO OESTE,2006-03-18,1.489
CENTRO OESTE,2006-03-25,1.489
CENTRO OESTE,2006-04-01,1.853
CENTRO OESTE,2006-04-08,1.489
CENTRO OESTE,2006-04-15,1.489
CENTRO OESTE,2006-04-22,1.496
CENTRO OESTE,2006-04-29,1.497
CENTRO OESTE,2006-05-06,1.568
CENTRO OESTE,2006-05-13,1.566
CENTRO OESTE,2006-05-20,1.568
CENTRO OESTE,2006-05-27,1.568
CENTRO OESTE,2006-06-03,1.569
CENTRO OESTE,2006-06-10,1.551
CENTRO OESTE,2006-06-17,1.534
CENTRO OESTE,2006-06-24,1.542
CENTRO OESTE,2006-07-01,1.53
CENTRO OESTE,2006-07-08,1.569
CENTRO OESTE,2006-07-15,1.558
CENTRO OESTE,2006-07-22,1.532
CENTRO OESTE,2006-07-29,1.562
CENTRO OESTE,2006-08-05,1.546
CENTRO OESTE,2006-08-12,1.547
CENTRO OESTE,2006-08-19,1.553
CENTRO OESTE,2006-08-26,1.523
CENTRO OESTE,2006-09-02,1.51
CENTRO OESTE,2006-09-09,1.501
CENTRO OESTE,2006-09-16,1.485
CENTRO OESTE,2006-09-23,1.481
CENTRO OESTE,2006-09-30,1.451
CENTRO OESTE,2006-10-07,1.42
CENTRO OESTE,2006-10-14,1.438
CENTRO OESTE,2006-10-21,1.404
CENTRO OESTE,2006-10-28,1.373
CENTRO OESTE,2006-11-04,1.371
CENTRO OESTE,2006-11-11,1.396
CENTRO OESTE,2006-11-18,1.521
CENTRO OESTE,2006-11-25,1.518
CENTRO OESTE,2006-12-02,1.509
CENTRO OESTE,2006-12-09,1.499
CENTRO OESTE,2006-12-16,1.509
CENTRO OESTE,2006-12-23,1.484
CENTRO OESTE,2006-12-30,1.517
CENTRO OESTE,2007-01-06,1.5
CENTRO OESTE,2007-01-13,1.512
CENTRO OESTE,2007-01-20,1.523
CENTRO OESTE,2007-01-27,1.52
CENTRO OESTE,2007-02-03,1.507
CENTRO OESTE,2007-02-10,1.53
CENTRO OESTE,2007-02-17,1.569
CENTRO OESTE,2007-02-24,1.555
CENTRO OESTE,2007-03-03,1.544
CENTRO OESTE,2007-03-10,1.545
CENTRO OESTE,2007-03-17,1.535
CENTRO OESTE,2007-03-24,1.53
CENTRO OESTE,2007-03-31,1.545
CENTRO OESTE,2007-04-07,1.674
CENTRO OESTE,2007-04-14,1.567
CENTRO OESTE,2007-04-21,1.569
CENTRO OESTE,2007-04-28,1.569
CENTRO OESTE,2007-05-05,1.569
CENTRO OESTE,2007-05-12,1.569
CENTRO OESTE,2007-05-19,1.49
CENTRO OESTE,2007-05-26,1.49
CENTRO OESTE,2007-06-02,1.462
CENTRO OESTE,2007-06-09,1.427
CENTRO OESTE,2007-06-16,1.401
CENTRO OESTE,2007-06-23,1.381
CENTRO OESTE,2007-06-30,1.377
CENTRO OESTE,2007-07-07,1.317
CENTRO OESTE,2007-07-14,1.309
CENTRO OESTE,2007-07-21,1.315
CENTRO OESTE,2007-07-28,1.26
CENTRO OESTE,2007-08-04,1.226
CENTRO OESTE,2007-08-11,1.21
CENTRO OESTE,2007-08-18,1.208
CENTRO OESTE,2007-08-25,1.202
CENTRO OESTE,2007-09-01,1.2
CENTRO OESTE,2007-09-08,1.188
CENTRO OESTE,2007-09-15,1.199
CENTRO OESTE,2007-09-22,1.206
CENTRO OESTE,2007-09-29,1.238
CENTRO OESTE,2007-10-06,1.256
CENTRO OESTE,2007-10-13,1.256
CENTRO OESTE,2007-10-20,1.253
CENTRO OESTE,2007-10-27,1.255
CENTRO OESTE,2007-11-03,1.348
CENTRO OESTE,2007-11-10,1.351
CENTRO OESTE,2007-11-17,1.398
CENTRO OESTE,2007-11-24,1.423
CENTRO OESTE,2007-12-01,1.471
CENTRO OESTE,2007-12-08,1.467
CENTRO OESTE,2007-12-15,1.478
CENTRO OESTE,2007-12-22,1.495
CENTRO OESTE,2007-12-29,1.497
CENTRO OESTE,2008-01-05,1.52
CENTRO OESTE,2008-01-12,1.581
CENTRO OESTE,2008-01-19,1.584
CENTRO OESTE,2008-01-26,1.563
CENTRO OESTE,2008-02-02,1.551
CENTRO OESTE,2008-02-09,1.589
CENTRO OESTE,2008-02-16,1.591
CENTRO OESTE,2008-02-23,1.554
CENTRO OESTE,2008-03-01,1.523
CENTRO OESTE,2008-03-08,1.481
CENTRO OESTE,2008-03-15,1.555
CENTRO OESTE,2008-03-22,1.58
CENTRO OESTE,2008-03-29,1.541
CENTRO OESTE,2008-04-05,1.494
CENTRO OESTE,2008-04-12,1.471
CENTRO OESTE,2008-04-19,1.454
CENTRO OESTE,2008-04-26,1.437
CENTRO OESTE,2008-05-03,1.435
CENTRO OESTE,2008-05-10,1.463
CENTRO OESTE,2008-05-17,1.451
CENTRO OESTE,2008-05-24,1.451
CENTRO OESTE,2008-05-31,1.414
CENTRO OESTE,2008-06-07,1.382
CENTRO OESTE,2008-06-14,1.324
CENTRO OESTE,2008-06-21,1.296
CENTRO OESTE,2008-06-28,1.264
CENTRO OESTE,2008-07-05,1.257
CENTRO OESTE,2008-07-12,1.251
CENTRO OESTE,2008-07-19,1.304
CENTRO OESTE,2008-07-26,1.33
CENTRO OESTE,2008-08-02,1.295
CENTRO OESTE,2008-08-09,1.278
CENTRO OESTE,2008-08-16,1.241
CENTRO OESTE,2008-08-23,1.233
CENTRO OESTE,2008-08-30,1.269
CENTRO OESTE,2008-09-06,1.375
CENTRO OESTE,2008-09-13,1.38
CENTRO OESTE,2008-09-20,1.378
CENTRO OESTE,2008-09-27,1.404
CENTRO OESTE,2008-10-04,1.469
CENTRO OESTE,2008-10-11,1.481
CENTRO OESTE,2008-10-18,1.476
CENTRO OESTE,2008-10-25,1.479
CENTRO OESTE,2008-11-01,1.474
CENTRO OESTE,2008-11-08,1.349
CENTRO OESTE,2008-11-15,1.299
CENTRO OESTE,2008-11-22,1.268
CENTRO OESTE,2008-11-29,1.298
CENTRO OESTE,2008-12-06,1.3
CENTRO OESTE,2008-12-13,1.303
CENTRO OESTE,2008-12-20,1.325
CENTRO OESTE,2008-12-27,1.368
CENTRO OESTE,2009-01-03,1.371
CENTRO OESTE,2009-01-10,1.375
CENTRO OESTE,2009-01-17,1.49
CENTRO OESTE,2009-01-24,1.51
CENTRO OESTE,2009-01-31,1.526
CENTRO OESTE,2009-02-07,1.602
CENTRO OESTE,2009-02-14,1.526
CENTRO OESTE,2009-02-21,1.52
CENTRO OESTE,2009-02-28,1.505
CENTRO OESTE,2009-03-07,1.526
CENTRO OESTE,2009-03-14,1.552
CENTRO OESTE,2009-03-21,1.551
CENTRO OESTE,2009-03-28,1.545
CENTRO OESTE,2009-04-04,1.544
CENTRO OESTE,2009-04-11,1.539
CENTRO OESTE,2009-04-18,1.529
CENTRO OESTE,2009-04-25,1.515
CENTRO OESTE,2009-05-02,1.499
CENTRO OESTE,2009-05-09,1.486
CENTRO OESTE,2009-05-16,1.463
CENTRO OESTE,2009-05-23,1.443
CENTRO OESTE,2009-05-30,1.382
CENTRO OESTE,2009-06-06,1.368
CENTRO OESTE,2009-06-13,1.323
